Manufacturer,Model,Efficiency Rating,Noise Rating,Total Score,Relative Performance,Average Efficiency [%],Average Efficiency (20-80W) [%],Efficiency 2% [%],Avg Noise Output [dB(A)],Report Date,Report_links,Report
Enermax,Platimax D.F. 1200W,PLATINUM,Standard++,79.4405,83.70,89.530,77.469,-,32.33,2018-11-11,['https://www.cybenetics.com/evaluations/psus/215/'],
Enermax,Platimax D.F. 500W,PLATINUM,A,73.2481,77.18,90.554,77.133,-,22.05,2018-01-23,['https://www.cybenetics.com/evaluations/psus/50/'],
Enermax,RevoBron 700W,SILVER,Standard++,70.8795,74.68,85.342,80.481,64.421,33.60,2018-10-15,['https://www.cybenetics.com/evaluations/psus/505/'],
Enermax,Revolution D.F. 850W,GOLD,A-,79.1480,83.39,88.616,78.771,65.335,25.78,2020-03-09,['https://www.cybenetics.com/evaluations/psus/1619/'],
Enermax,Revolution D.F.12 750W,PLATINUM,Standard+,84.2217,88.74,89.298,84.031,71.684,37.47,2024-03-21,['https://www.cybenetics.com/evaluations/psus/2393/'],
Enermax,Revolution D.F.12 850W,PLATINUM,Standard+,84.3034,88.82,89.589,84.197,73.475,37.87,2024-03-15,['https://www.cybenetics.com/evaluations/psus/2391/'],
Enermax,Revolution D.F.2 1050W,PLATINUM,Standard++,82.3644,86.78,89.817,84.123,77.148,32.05,2023-09-13,['https://www.cybenetics.com/evaluations/psus/2237/'],
Enermax,Revolution D.F.2 1200W,PLATINUM,Standard+,83.6684,88.15,89.242,80.526,73.462,37.96,2024-01-22,['https://www.cybenetics.com/evaluations/psus/2328/'],
Enermax,Revolution D.F.X 1050W,PLATINUM,Standard+,84.3035,88.82,89.266,83.321,75.757,36.92,2023-11-28,['https://www.cybenetics.com/evaluations/psus/2295/'],
Enermax,Revolution D.F.X 1650W,PLATINUM,Standard++,88.1988,92.93,90.038,73.393,71.051,31.94,2024-04-06,['https://www.cybenetics.com/evaluations/psus/2407/'],
Enermax,Revolution D.F.X 850W,PLATINUM,Standard++,84.1473,88.66,89.092,82.085,70.298,31.78,2023-10-26,['https://www.cybenetics.com/evaluations/psus/2270/'],
Enermax,Revolution SFX 650W,GOLD,Standard+,70.7142,74.51,87.900,80.004,-,37.98,2018-07-03,['https://www.cybenetics.com/evaluations/psus/120/'],
Enermax,Revolution Xt II 750W,GOLD,A,70.3549,74.13,88.989,77.349,-,21.27,2018-08-02,['https://www.cybenetics.com/evaluations/psus/370/'],
Enhance Electronics,ATX-6285,TITANIUM,A,79.1572,83.40,91.681,85.739,76.121,24.64,2024-10-22,['https://www.cybenetics.com/evaluations/psus/2619/'],
EVGA,430W,,Standard+,64.9152,68.40,81.558,75.012,-,36.30,2018-05-08,['https://www.cybenetics.com/evaluations/psus/188/'],
EVGA,430W (#2),,Standard+,63.7791,67.20,80.967,74.216,52.271,36.16,2020-11-23,['https://www.cybenetics.com/evaluations/psus/1756/'],
EVGA,450 B3,BRONZE,A-,74.6024,78.60,84.922,79.480,-,28.95,2018-07-23,['https://www.cybenetics.com/evaluations/psus/148/'],
EVGA,450 BT,BRONZE,Standard+,68.4809,72.15,84.035,77.418,-,37.79,2018-02-01,['https://www.cybenetics.com/evaluations/psus/366/'],
EVGA,450 BT (#2),BRONZE,Standard+,65.9964,69.53,83.772,78.685,-,37.71,2018-03-01,['https://www.cybenetics.com/evaluations/psus/367/'],
EVGA,450 BT (#3),BRONZE,Standard+,68.2591,71.92,83.594,78.386,57.306,36.07,2020-11-24,['https://www.cybenetics.com/evaluations/psus/1757/'],
EVGA,450Β,BRONZE,Standard+,64.3681,67.82,83.117,74.941,-,37.49,2018-08-14,['https://www.cybenetics.com/evaluations/psus/162/'],
EVGA,500 BQ,SILVER,Standard+,74.1447,78.12,86.019,77.431,-,37.07,2018-09-08,['https://www.cybenetics.com/evaluations/psus/191/'],
EVGA,500B,BRONZE,Standard+,62.8332,66.20,82.363,73.625,-,35.75,2018-03-08,['https://www.cybenetics.com/evaluations/psus/185/'],
EVGA,500W,,Standard+,64.8735,68.35,81.927,74.228,-,39.24,2018-04-06,['https://www.cybenetics.com/evaluations/psus/187/'],
EVGA,550 B3,SILVER,A-,75.0305,79.05,86.127,78.870,-,29.74,2018-07-25,['https://www.cybenetics.com/evaluations/psus/147/'],
EVGA,600 BQ,SILVER,Standard+,73.4288,77.37,85.095,76.272,-,37.30,2018-06-06,['https://www.cybenetics.com/evaluations/psus/190/'],
EVGA,600B,BRONZE,A-,67.1329,70.73,82.635,73.219,-,27.94,2018-09-17,['https://www.cybenetics.com/evaluations/psus/177/'],
EVGA,600W,BRONZE,Standard+,61.6230,64.93,82.449,72.876,-,35.34,2018-04-07,['https://www.cybenetics.com/evaluations/psus/186/'],
EVGA,650 B3,SILVER,Standard++,76.2826,80.37,86.113,77.904,-,31.98,2018-07-22,['https://www.cybenetics.com/evaluations/psus/146/'],
EVGA,650 BQ,BRONZE,Standard+,67.6704,71.30,84.558,69.366,-,39.05,2018-10-03,['https://www.cybenetics.com/evaluations/psus/107/'],
EVGA,650 BQ (#2),BRONZE,Standard+,68.7800,72.47,84.573,70.121,-,38.98,2018-08-21,['https://www.cybenetics.com/evaluations/psus/164/'],
EVGA,650 N1,BRONZE,Standard+,64.9176,68.40,82.586,72.925,54.650,39.05,2020-11-17,['https://www.cybenetics.com/evaluations/psus/1752/'],
EVGA,700B,BRONZE,Standard++,66.0344,69.57,84.561,70.059,-,34.88,2018-11-07,['https://www.cybenetics.com/evaluations/psus/171/'],
EVGA,750 B3,BRONZE,Standard++,74.8594,78.87,84.685,73.257,-,31.66,2018-08-15,['https://www.cybenetics.com/evaluations/psus/161/'],
EVGA,750 BQ,BRONZE,Standard,69.7233,73.46,84.666,69.663,-,43.06,2018-08-18,['https://www.cybenetics.com/evaluations/psus/163/'],
EVGA,850 B3,SILVER,Standard++,76.1285,80.21,85.300,74.105,-,32.81,2018-08-13,['https://www.cybenetics.com/evaluations/psus/160/'],
EVGA,850 GQ,GOLD,A,77.7351,81.90,88.715,77.441,-,24.63,2018-04-15,['https://www.cybenetics.com/evaluations/psus/93/'],
EVGA,SuperNOVA 1000 G3,PLATINUM,Standard++,87.8681,92.58,89.652,80.791,73.258,33.81,2018-11-11,['https://www.cybenetics.com/evaluations/psus/214/'],
EVGA,SuperNOVA 1000 G5,GOLD,Standard,83.7592,88.25,89.048,78.386,67.433,43.38,2019-09-09,['https://www.cybenetics.com/evaluations/psus/811/'],
EVGA,SuperNOVA 1000 G5 (#2),GOLD,Standard,82.0450,86.44,88.714,78.939,68.145,43.53,2020-02-14,['https://www.cybenetics.com/evaluations/psus/1598/'],
EVGA,SuperNOVA 1000 G6,GOLD,A-,85.4236,90.00,88.912,80.009,77.006,27.69,2021-07-09,['https://www.cybenetics.com/evaluations/psus/1868/'],
EVGA,SuperNOVA 1000 G7,PLATINUM,Standard++,88.4081,93.15,90.310,80.245,70.164,33.19,2022-06-28,['https://www.cybenetics.com/evaluations/psus/2032/'],
EVGA,SuperNOVA 1000 P6,PLATINUM,Standard++,87.0029,91.67,89.795,82.136,76.834,31.61,2021-10-25,['https://www.cybenetics.com/evaluations/psus/1923/'],
EVGA,SuperNOVA 1600 T2,TITANIUM,Standard++,88.6306,93.38,91.769,78.115,-,34.51,2018-10-16,['https://www.cybenetics.com/evaluations/psus/200/'],
EVGA,SuperNOVA 1600 T2 (#2),TITANIUM,Standard+,86.4536,91.09,91.353,77.781,75.009,38.16,2020-05-19,['https://www.cybenetics.com/evaluations/psus/1656/'],
EVGA,SuperNOVA 550 G3,PLATINUM,A-,81.7514,86.13,89.362,83.090,-,26.53,2018-11-20,['https://www.cybenetics.com/evaluations/psus/224/'],
EVGA,SuperNOVA 650 G+,BRONZE,A-,75.8570,79.92,89.064,81.313,-,26.93,2018-01-03,['https://www.cybenetics.com/evaluations/psus/400/'],
EVGA,SuperNOVA 650 G3,PLATINUM,A-,81.8800,86.27,89.478,83.098,-,27.31,2018-11-20,['https://www.cybenetics.com/evaluations/psus/222/'],
EVGA,SuperNOVA 650 GM,SILVER,A-,76.4464,80.54,89.876,82.784,64.309,28.15,2018-10-27,['https://www.cybenetics.com/evaluations/psus/513/'],
EVGA,SuperNOVA 750 G5,GOLD,Standard+,80.8662,85.20,88.446,78.362,62.635,36.38,2019-11-09,['https://www.cybenetics.com/evaluations/psus/813/'],
EVGA,SuperNOVA 750 G6,GOLD,A-,84.7967,89.34,88.764,79.809,69.653,27.10,2021-07-14,['https://www.cybenetics.com/evaluations/psus/1870/'],
EVGA,SuperNOVA 750 GA,SILVER,Standard++,78.8881,83.12,88.713,81.536,65.623,31.34,2022-02-01,['https://www.cybenetics.com/evaluations/psus/1970/'],
EVGA,SuperNOVA 750 GT,GOLD,A-,79.0299,83.27,88.819,76.868,63.436,28.96,2020-11-25,['https://www.cybenetics.com/evaluations/psus/1758/'],
EVGA,SuperNOVA 850 G3,PLATINUM,Standard++,82.7252,87.16,89.416,80.301,-,33.81,2018-04-01,['https://www.cybenetics.com/evaluations/psus/57/'],
EVGA,SuperNOVA 850 G3 (#2),PLATINUM,Standard++,83.9511,88.45,89.569,81.324,-,34.01,2018-09-07,['https://www.cybenetics.com/evaluations/psus/212/'],
EVGA,SuperNOVA 850 G6,GOLD,A-,84.1273,88.64,88.438,79.833,72.209,26.99,2021-07-09,['https://www.cybenetics.com/evaluations/psus/1869/'],
EVGA,SuperNOVA 850 G7,PLATINUM,Standard++,87.7050,92.41,90.073,81.169,68.510,32.40,2022-06-24,['https://www.cybenetics.com/evaluations/psus/2033/'],
EVGA,SuperNOVA 850 P6,PLATINUM,Standard++,82.6994,87.13,89.707,83.798,76.551,30.14,2021-10-25,['https://www.cybenetics.com/evaluations/psus/1924/'],
EVGA,SuperNOVA 850 T2,TITANIUM,A++,86.9044,91.56,92.156,84.255,-,13.25,2018-02-04,['https://www.cybenetics.com/evaluations/psus/153/'],
EVGA,SuperNOVA 850G FTW,PLATINUM,A,82.4662,86.89,89.972,79.329,66.900,23.38,2024-06-27,['https://www.cybenetics.com/evaluations/psus/2487/'],
EVGA,SuperNOVA NEX750B,BRONZE,Standard+,63.9189,67.35,83.896,75.465,-,36.76,2018-08-28,['https://www.cybenetics.com/evaluations/psus/169/'],
Forgeon,Reactor 1200W,GOLD,Standard+,84.2416,88.76,88.324,74.593,-,36.18,2025-03-17,['https://www.cybenetics.com/evaluations/psus/2768/'],
Forgeon,Reactor 850W,PLATINUM,A-,82.5402,86.97,90.197,80.402,-,28.30,2025-04-22,['https://www.cybenetics.com/evaluations/psus/2789/'],
Fractal Design,ION SFX G 500,GOLD,A-,81.7327,86.11,88.628,82.282,60.802,28.14,2019-10-21,['https://www.cybenetics.com/evaluations/psus/880/'],
Fractal Design,ION SFX G 650,GOLD,Standard+,81.8891,86.28,88.336,81.761,65.617,36.77,2019-10-15,['https://www.cybenetics.com/evaluations/psus/872/'],
Fractal Design,ION+ 560P,PLATINUM,A++,79.7456,84.02,89.795,77.739,48.216,11.90,2019-07-23,['https://www.cybenetics.com/evaluations/psus/1536/'],
Fractal Design,ION+ 660P,PLATINUM,A++,81.0887,85.44,89.759,76.713,42.959,13.74,2020-05-20,['https://www.cybenetics.com/evaluations/psus/1535/'],
Fractal Design,ION+ 760P,PLATINUM,A+,82.5450,86.97,90.211,76.507,44.135,15.87,2020-05-20,['https://www.cybenetics.com/evaluations/psus/1534/'],
Fractal Design,ION+ 860P,PLATINUM,A+,81.6823,86.06,89.952,78.400,49.980,18.05,2019-07-15,['https://www.cybenetics.com/evaluations/psus/764/'],
FSP Technology Inc.,Dagger 600W,SILVER,A,71.2476,75.07,88.239,78.172,-,22.80,2018-04-18,['https://www.cybenetics.com/evaluations/psus/96/'],
FSP Technology Inc.,Dagger Pro 850W,PLATINUM,Standard+,78.2783,82.47,89.194,80.596,66.710,38.86,2021-06-22,['https://www.cybenetics.com/evaluations/psus/1859/'],
FSP Technology Inc.,HPT750M Hydro,PLATINUM,A-,79.2191,83.47,89.740,80.741,-,27.77,2018-08-27,['https://www.cybenetics.com/evaluations/psus/168/'],
FSP Technology Inc.,HPT850M Hydro,PLATINUM,A,86.0917,90.71,90.589,82.080,70.233,24.90,2018-07-17,['https://www.cybenetics.com/evaluations/psus/434/'],
FSP Technology Inc.,HPT850M Hydro (#2),PLATINUM,A-,86.2887,90.91,90.632,82.085,69.084,26.98,2018-07-18,['https://www.cybenetics.com/evaluations/psus/435/'],
FSP Technology Inc.,Hydro G Pro 850W,GOLD,Standard++,80.1335,84.43,88.995,78.482,65.613,34.29,2019-05-07,['https://www.cybenetics.com/evaluations/psus/756/'],
FSP Technology Inc.,Hydro PTM Pro 1200W,PLATINUM,A-,85.3722,89.95,89.959,75.322,66.273,26.91,2020-10-23,['https://www.cybenetics.com/evaluations/psus/1740/'],
FSP Technology,Advan GM 1000W,GOLD,Standard++,72.8915,76.80,87.736,75.798,64.459,31.98,2024-04-23,['https://www.cybenetics.com/evaluations/psus/2425/'],
FSP Technology,AURUM PT 1000W PT-1000FM,PLATINUM,A-,82.3138,86.73,90.386,79.123,-,27.89,2018-03-27,['https://www.cybenetics.com/evaluations/psus/339/'],
FSP Technology,AURUM PT 1200W PT-1200FM,PLATINUM,Standard++,79.8627,84.14,89.557,75.643,-,32.61,2018-02-26,['https://www.cybenetics.com/evaluations/psus/300/'],
FSP Technology,HPT650M Hydro,PLATINUM,A,78.9601,83.19,89.869,81.610,63.091,22.47,2018-05-08,['https://www.cybenetics.com/evaluations/psus/537/'],
FSP Technology,Hydro G Pro 1000W,GOLD,A-,83.9548,88.46,88.560,78.384,67.969,27.04,2022-10-18,['https://www.cybenetics.com/evaluations/psus/2078/'],
FSP Technology,Hydro G Pro 1200W,GOLD,A-,84.5599,89.09,88.240,72.506,63.321,29.83,2024-02-15,['https://www.cybenetics.com/evaluations/psus/2357/'],
FSP Technology,Hydro G Pro 1200W (ATX3.1),GOLD,A-,86.5443,91.18,88.204,71.824,-,27.85,2025-06-04,['https://www.cybenetics.com/evaluations/psus/2842/'],
FSP Technology,Hydro PTM Pro 1200W (ATX v3.0),PLATINUM,A-,86.0342,90.65,89.771,74.428,65.302,25.46,2023-04-06,['https://www.cybenetics.com/evaluations/psus/2166/'],
FSP Technology,Hydro PTM X PRO 1200W,PLATINUM,Standard+,87.2780,91.96,89.859,78.190,69.527,35.73,2024-01-03,['https://www.cybenetics.com/evaluations/psus/2317/'],
FSP Technology,Hydro Ti Pro 1000W,TITANIUM,A++,89.9522,94.77,92.235,84.796,74.077,12.65,2022-12-19,['https://www.cybenetics.com/evaluations/psus/2101/'],
FSP Technology,MEGA TI 1350,TITANIUM,A++,90.2372,95.07,91.410,72.706,-,14.02,2025-04-30,['https://www.cybenetics.com/evaluations/psus/2798/'],
FSP Technology,VITA GM 1000W,PLATINUM,A-,83.2940,87.76,90.095,76.134,71.809,25.17,2024-05-21,['https://www.cybenetics.com/evaluations/psus/2467/'],
FSP Technology,VITA GM 650W,PLATINUM,A+,82.0985,86.50,89.278,82.240,65.270,18.45,2024-09-03,['https://www.cybenetics.com/evaluations/psus/2557/'],
FSP Technology,VITA GM 750W,PLATINUM,A+,83.4432,87.92,89.413,78.324,69.191,19.52,2024-06-12,['https://www.cybenetics.com/evaluations/psus/2474/'],
FSP Technology,VITA GM 850W,PLATINUM,A,85.3914,89.97,90.089,81.716,69.552,21.74,2024-06-11,['https://www.cybenetics.com/evaluations/psus/2470/'],
Galax,OMEGA GL500S,BRONZE,Standard,62.5694,65.92,83.929,77.444,54.101,41.85,2023-11-30,['https://www.cybenetics.com/evaluations/psus/2262/'],
Galax,OMEGA GL650S,BRONZE,Standard+,63.3369,66.73,84.913,78.070,69.823,38.95,2023-11-29,['https://www.cybenetics.com/evaluations/psus/2257/'],
Galax,OMEGA GLX1000,PLATINUM,Standard+,84.2482,88.76,90.120,79.912,69.638,35.39,2023-10-04,['https://www.cybenetics.com/evaluations/psus/2250/'],
Galax,OMEGA GLX1200,PLATINUM,Standard+,81.7259,86.11,89.810,78.932,68.905,36.76,2023-09-28,['https://www.cybenetics.com/evaluations/psus/2247/'],
Galax,OMEGA GLX850,GOLD,Standard,80.5488,84.87,88.884,78.275,63.359,40.58,2023-10-06,['https://www.cybenetics.com/evaluations/psus/2255/'],
Game G Factor,PSG1050,PLATINUM,A-,85.1752,89.74,89.634,79.039,71.794,29.89,2023-11-23,['https://www.cybenetics.com/evaluations/psus/2292/'],
Gamemax,GM500 rev.2,BRONZE,Standard+,67.4336,71.05,84.327,77.433,55.120,37.51,2019-04-27,['https://www.cybenetics.com/evaluations/psus/586/'],
Gamemax,GM600 rev.2 (#1),BRONZE,Standard+,52.8639,55.70,84.592,71.087,49.871,36.65,2019-10-04,['https://www.cybenetics.com/evaluations/psus/668/'],
Gamemax,GM600 rev.2 (#2),BRONZE,Standard+,62.2583,65.60,84.732,72.388,51.780,37.16,2019-11-04,['https://www.cybenetics.com/evaluations/psus/670/'],
Gamemax,GM800 rev.2,BRONZE,Standard+,49.3276,51.97,83.878,68.658,50.735,39.22,2019-04-27,['https://www.cybenetics.com/evaluations/psus/584/'],
Gamemax,GP-400A rev.2,BRONZE,A-,60.3564,63.59,83.521,78.195,59.258,29.47,2019-04-28,['https://www.cybenetics.com/evaluations/psus/588/'],
Gamemax,GP-400A rev.2 (#2),BRONZE,A-,57.5985,60.69,83.819,78.448,57.752,29.41,2019-12-03,['https://www.cybenetics.com/evaluations/psus/652/'],
Gamemax,GX-1050 PRO,PLATINUM,A,85.0146,89.57,89.789,78.468,72.324,21.86,2024-11-19,['https://www.cybenetics.com/evaluations/psus/2654/'],
Gamemax,RGB-1050 PRO,PLATINUM,A-,85.3471,89.92,89.454,72.144,70.534,29.53,2023-06-12,['https://www.cybenetics.com/evaluations/psus/2192/'],
Gamer Storm,PL650D,SILVER,Standard+,74.2431,78.22,86.252,78.895,61.262,35.21,2024-09-06,['https://www.cybenetics.com/evaluations/psus/2435/'],
Gamer Storm,PL750D,SILVER,Standard++,77.5980,81.76,85.834,76.620,60.353,33.59,2024-08-29,['https://www.cybenetics.com/evaluations/psus/2432/'],
Gamer Storm,PL800D,SILVER,Standard+,77.7659,81.94,86.211,77.975,63.504,35.86,2024-08-22,['https://www.cybenetics.com/evaluations/psus/2429/'],
Gamer Storm,PN1000D,GOLD,Standard++,76.6828,80.79,88.379,72.110,65.952,31.26,2024-09-23,['https://www.cybenetics.com/evaluations/psus/2461/'],
Gamer Storm,PN1000M,GOLD,A,82.2760,86.69,88.339,79.921,74.575,24.12,2024-08-06,['https://www.cybenetics.com/evaluations/psus/2419/'],
Gamer Storm,PN1200M,GOLD,Standard++,80.7641,85.09,88.040,79.490,75.306,33.42,2024-08-09,['https://www.cybenetics.com/evaluations/psus/2412/'],
Gamer Storm,PN650D,GOLD,Standard++,79.5036,83.77,88.383,82.155,64.444,34.21,2024-09-19,['https://www.cybenetics.com/evaluations/psus/2339/'],
Gamer Storm,PN650M,GOLD,Standard++,78.7942,83.02,88.271,81.179,62.179,32.99,2024-08-05,['https://www.cybenetics.com/evaluations/psus/2319/'],
Gamer Storm,PN750D,GOLD,Standard+,75.1508,79.18,88.569,81.271,64.403,36.82,2024-09-18,['https://www.cybenetics.com/evaluations/psus/2338/'],
Gamer Storm,PN750M,GOLD,Standard+,79.8686,84.15,88.673,81.085,63.165,36.74,2024-08-08,['https://www.cybenetics.com/evaluations/psus/2316/'],
Gamer Storm,PN850D,GOLD,Standard++,77.4358,81.59,88.937,82.163,68.146,33.51,2024-09-11,['https://www.cybenetics.com/evaluations/psus/2335/'],
Gamer Storm,PN850M,GOLD,Standard+,81.4033,85.77,88.943,81.266,69.192,35.19,2023-08-02,['https://www.cybenetics.com/evaluations/psus/2313/'],
Gamer Storm,PQ1000G,PLATINUM,A-,82.4443,86.86,89.168,79.392,68.867,29.53,2024-09-09,['https://www.cybenetics.com/evaluations/psus/2440/'],
Gamer Storm,PQ1000M-V2,PLATINUM,Standard++,86.2631,90.89,89.401,82.361,-,31.10,2025-05-21,['https://www.cybenetics.com/evaluations/psus/2824/'],
Gamer Storm,PQ1000P,PLATINUM,A,81.7125,86.09,90.256,81.406,71.222,22.66,2024-06-07,['https://www.cybenetics.com/evaluations/psus/2468/'],
Gamer Storm,PQ1200G,GOLD,Standard++,82.7248,87.16,88.817,78.737,71.386,31.93,2024-09-08,['https://www.cybenetics.com/evaluations/psus/2436/'],
Gamer Storm,PQ1200P,PLATINUM,A-,80.5203,84.84,89.791,79.129,71.566,29.31,2024-06-04,['https://www.cybenetics.com/evaluations/psus/2463/'],
Gamer Storm,PQ650G,GOLD,A-,80.0000,84.29,88.546,80.630,62.603,25.81,2024-09-15,['https://www.cybenetics.com/evaluations/psus/2446/'],
Gamer Storm,PQ650P,PLATINUM,A-,78.2072,82.40,90.217,82.914,66.399,26.53,2024-09-09,['https://www.cybenetics.com/evaluations/psus/2479/'],
Gamer Storm,PQ750G,GOLD,Standard++,80.9723,85.31,88.587,80.493,65.458,33.77,2024-09-16,['https://www.cybenetics.com/evaluations/psus/2442/'],
Gamer Storm,PQ750M-V2,PLATINUM,A-,83.1181,87.57,89.370,82.070,-,28.30,2025-05-29,['https://www.cybenetics.com/evaluations/psus/2833/'],
Gamer Storm,PQ750P,PLATINUM,A-,81.3831,85.75,90.214,82.598,70.499,27.80,2024-09-21,['https://www.cybenetics.com/evaluations/psus/2475/'],
Gamer Storm,PQ850G,PLATINUM,Standard+,83.3429,87.81,89.221,81.084,68.211,36.06,2024-09-08,['https://www.cybenetics.com/evaluations/psus/2438/'],
Gamer Storm,PQ850M-V2,PLATINUM,A-,84.7283,89.27,89.286,80.899,-,28.53,2025-05-26,['https://www.cybenetics.com/evaluations/psus/2829/'],
Gamer Storm,PQ850P,PLATINUM,A,81.0747,85.42,90.441,83.123,73.381,22.47,2024-09-11,['https://www.cybenetics.com/evaluations/psus/2472/'],
Gamer Storm,PX1000G,PLATINUM,Standard++,86.0318,90.64,88.958,84.053,79.094,32.53,2024-09-17,['https://www.cybenetics.com/evaluations/psus/2135/'],
Gamer Storm,PX1000P,PLATINUM,Standard++,88.6697,93.42,90.308,76.515,66.638,32.75,2024-08-16,['https://www.cybenetics.com/evaluations/psus/2178/'],
Gamer Storm,PX1200G,PLATINUM,Standard+,88.0480,92.77,88.966,81.249,77.334,38.64,2024-09-08,['https://www.cybenetics.com/evaluations/psus/2133/'],
Gamer Storm,PX1300P,PLATINUM,Standard+,90.3994,95.25,89.880,75.835,69.168,37.91,2024-09-12,['https://www.cybenetics.com/evaluations/psus/2177/'],
Gamer Storm,PX850G,GOLD,A-,84.9769,89.53,88.638,83.122,76.788,28.26,2024-09-20,['https://www.cybenetics.com/evaluations/psus/2136/'],
Gamer Storm,ZB1000D,PLATINUM,A,78.9741,83.21,89.707,79.482,69.318,23.95,2024-11-16,['https://www.cybenetics.com/evaluations/psus/2651/'],
Gamer Storm,ZC850D,GOLD,Standard++,79.9912,84.28,88.596,81.670,69.574,32.04,2024-10-07,['https://www.cybenetics.com/evaluations/psus/2594/'],
Gigabyte,Aorus 850,PLATINUM,Standard++,83.0329,87.48,89.708,77.963,62.829,32.06,2018-08-23,['https://www.cybenetics.com/evaluations/psus/467/'],
Gigabyte,P450B,BRONZE,Standard,64.9672,68.45,83.042,74.753,53.369,42.14,2020-11-06,['https://www.cybenetics.com/evaluations/psus/1744/'],
Gigabyte,P550B,BRONZE,Standard,59.7330,62.94,83.016,75.223,54.903,42.44,2020-11-05,['https://www.cybenetics.com/evaluations/psus/1745/'],
Gigabyte,P750GM,PLATINUM,A-,74.7557,78.76,89.122,79.170,54.932,29.79,2020-10-27,['https://www.cybenetics.com/evaluations/psus/1743/'],
Gigabyte,P750GM (#2),PLATINUM,Standard++,75.8897,79.96,89.163,80.121,55.729,33.68,2021-10-04,['https://www.cybenetics.com/evaluations/psus/1914/'],
Gigabyte,P850GM,PLATINUM,Standard+,75.0846,79.11,89.742,81.790,69.662,37.70,2021-02-26,['https://www.cybenetics.com/evaluations/psus/1800/'],
Gigabyte,P850GM (#2),PLATINUM,Standard+,76.9473,81.07,89.598,81.833,68.970,36.75,2021-10-04,['https://www.cybenetics.com/evaluations/psus/1915/'],
Gigabyte,UD1000GM PG5,PLATINUM,Standard+,80.7990,85.13,89.006,81.133,71.259,37.61,2022-04-28,['https://www.cybenetics.com/evaluations/psus/2008/'],
Gigabyte,UD750GM,PLATINUM,Standard++,79.8259,84.11,89.505,81.112,66.991,31.59,2022-04-21,['https://www.cybenetics.com/evaluations/psus/2007/'],
Gigabyte,UD850GM,PLATINUM,Standard++,79.5910,83.86,89.035,80.335,67.767,33.26,2022-04-19,['https://www.cybenetics.com/evaluations/psus/2006/'],
GOGHUNTERS,Nirvana N17 850W (115V),GOLD,Standard+,81.2364,85.59,88.047,69.208,57.584,35.03,2024-06-05,['https://www.cybenetics.com/evaluations/psus/2473/'],
GOGHUNTERS,Nirvana N20 850W (115V),GOLD,Standard+,81.2216,85.58,87.213,64.510,56.224,35.86,2024-05-31,['https://www.cybenetics.com/evaluations/psus/2466/'],
GREEN MEDEL,GP1000B-EDGE,PLATINUM,A-,85.4437,90.02,89.739,80.723,73.720,28.16,2024-11-09,['https://www.cybenetics.com/evaluations/psus/2641/'],
GREEN MEDEL,GP1000B-GXD,GOLD,Standard++,80.6305,84.95,88.813,76.622,-,30.99,2024-12-10,['https://www.cybenetics.com/evaluations/psus/2672/'],
GREEN MEDEL,GP1200B-GXD,GOLD,Standard++,84.1728,88.69,88.930,76.863,68.850,34.81,2024-11-07,['https://www.cybenetics.com/evaluations/psus/2635/'],
GREEN MEDEL,GP1300B-EDGE,PLATINUM,Standard+,86.9476,91.61,89.668,78.998,75.202,36.37,2024-12-04,['https://www.cybenetics.com/evaluations/psus/2668/'],
GREEN MEDEL,Overclocking DG 1050W,PLATINUM,Standard+,82.5332,86.96,90.459,80.767,70.462,36.30,2018-12-12,['https://www.cybenetics.com/evaluations/psus/564/'],
High Power,HP1-H1050GD-F14C,GOLD,Standard+,81.6568,86.03,88.821,78.325,67.366,36.42,2020-12-29,['https://www.cybenetics.com/evaluations/psus/1772/'],
High Power,HP1-H850GD-F14C,PLATINUM,Standard++,80.3696,84.68,89.145,78.314,63.821,31.92,2020-12-30,['https://www.cybenetics.com/evaluations/psus/1773/'],
High Power,HP1-M650BR-F12S,BRONZE,Standard++,71.4774,75.31,83.911,77.800,66.635,34.11,2020-12-30,['https://www.cybenetics.com/evaluations/psus/1774/'],
High Power,HP1-O21000GD-F14C,PLATINUM,Standard++,85.5405,90.13,89.320,79.540,72.949,31.33,2022-08-29,['https://www.cybenetics.com/evaluations/psus/2055/'],
HuntKey,WD650K,SILVER,Standard++,68.6816,72.36,87.245,81.446,-,32.91,2025-02-27,['https://www.cybenetics.com/evaluations/psus/2754/'],
Husky,FN650,BRONZE,Standard+,61.7400,65.05,84.041,78.043,69.785,39.63,2024-04-30,['https://www.cybenetics.com/evaluations/psus/2431/'],
Husky,FN750,GOLD,A-,77.8221,81.99,88.680,75.120,64.567,28.20,2024-02-26,['https://www.cybenetics.com/evaluations/psus/2368/'],
Husky,FN850,GOLD,Standard++,76.2601,80.35,88.408,70.688,57.518,32.88,2024-02-22,['https://www.cybenetics.com/evaluations/psus/2365/'],
Husky,FN950,PLATINUM,Standard++,82.2228,86.63,89.304,80.326,69.568,31.00,2024-08-01,['https://www.cybenetics.com/evaluations/psus/2520/'],
In Win,Classic 900W,PLATINUM,A++,71.0505,74.86,89.632,81.678,-,14.16,2018-06-10,['https://www.cybenetics.com/evaluations/psus/123/'],
In Win,Classic 900W (#2),PLATINUM,A++,70.1615,73.92,89.949,81.640,-,10.30,2018-05-15,['https://www.cybenetics.com/evaluations/psus/383/'],
